actions
melded with,
fused with,
composited together,
intermixed with,
mingling with,
intermingling with,
commingling with,
homogenized with,
stirred with,
commixed with,
conflated with,
immixed with,
comingled with,
united with,
beaten with,
immingled with,
cut inside a,
interfused with,
folded with,
tossed with,
emulsified with,
admixed with,
coalesced with,
compounded with,
woven with,
linked with,
knitted to,
joined with,
intertwined with,
conjoined with,
interweaved with,
